source;type;quartile_2022
Chemistry Education Research and Practice;journal;Q1
ChemMedChem;journal;Q1
Computers and Composition;journal;Q1
Experimental Heat Transfer;journal;Q1
Hand;journal;Q1
Immunology and Allergy Clinics of North America;journal;Q3
International Social Work;journal;Q1
Journal of Agricultural, Biological, and Environmental Statistics;journal;Q1
Journal of Applied Toxicology;journal;Q2
Journal of Food Science;journal;Q1
Molecular Medicine Reports;journal;Q2
Philosophical Psychology;journal;Q1
ACM Transactions on Computing for Healthcare;journal;Q2
ACM Transactions on Interactive Intelligent Systems;journal;Q2
Canadian Geriatrics Journal;journal;Q2
Fish Physiology and Biochemistry;journal;Q1
Journal of Exercise Science and Fitness;journal;Q1
Journal of Manufacturing and Materials Processing;journal;Q1
Linguistics and Education;journal;Q1
Meteorological Applications;journal;Q2
Psychoanalytic Social Work;journal;Q1
Tuberculosis;journal;Q2
Veterinary Parasitology;journal;Q1
Aging Male;journal;Q2
Big Data Research;journal;Q2
Environmental Humanities;journal;Q1
European Journal of Obstetrics and Gynecology and Reproductive Biology: X;journal;Q2
Heart Rhythm O2;journal;Q2
Journal of Analytical Toxicology;journal;Q2
Journal of Law and Courts;journal;Q1
Journal of Mammalogy;journal;Q1
Journal of Neuroimaging;journal;Q2
Journal of Political Power;journal;Q1
Journal of Strategy and Management;journal;Q2
Mathematika;journal;Q1
Primary Care Diabetes;journal;Q1
ACM SIGBED Review;journal;Q1
Comparative European Politics;journal;Q1
Continental Shelf Research;journal;Q1
Ecohydrology and Hydrobiology;journal;Q1
European Constitutional Law Review;journal;Q1
Information Systems and e-Business Management;journal;Q2
Innovations in Education and Teaching International;journal;Q1
International Journal of Geoheritage and Parks;journal;Q1
International Journal of Innovation Science;journal;Q1
Journal of Animal Breeding and Genetics;journal;Q1
Ophthalmic Research;journal;Q2
Petroleum;journal;Q2
Preventive Veterinary Medicine;journal;Q1
Revista Matematica Complutense;journal;Q1
Algae;journal;Q1
American Journal of Otolaryngology - Head and Neck Medicine and Surgery;journal;Q1
APMIS;journal;Q2
Digital Library Perspectives;journal;Q1
IEEE Transactions on Molecular, Biological, and Multi-Scale Communications;journal;Q2
Infection Ecology and Epidemiology;journal;Q2
Epidemiologia e servicos de saude : revista do Sistema Unico de Saude do Brasil;journal;Q1
Functional Plant Biology;journal;Q1
Journal of Applied Physics;journal;Q2
Journal of Gender Studies;journal;Q1
Journal of Oceanography;journal;Q2
Journal of Professional Nursing;journal;Q1
Plasmid;journal;Q3
Qudus International Journal of Islamic Studies;journal;Q1
Wireless Networks;journal;Q2
Advances in Theoretical and Mathematical Physics;journal;Q1
CardioRenal Medicine;journal;Q2
Crystal Growth and Design;journal;Q2
Energy Science and Engineering;journal;Q2
European Journal of Forest Research;journal;Q1
Geological Journal;journal;Q2
Humanities and Social Sciences Communications;journal;Q1
International Journal of Managing Projects in Business;journal;Q2
Journal of Mammary Gland Biology and Neoplasia;journal;Q2
Nanotechnology;journal;Q1
Plant Growth Regulation;journal;Q1
Revista de Saude Publica;journal;Q2
Topics in Stroke Rehabilitation;journal;Q1
Veterinary and Comparative Oncology;journal;Q1
Clinical Radiology;journal;Q2
Development Genes and Evolution;journal;Q2
Drug Testing and Analysis;journal;Q1
Electronic Commerce Research;journal;Q1
Ethnos;journal;Q1
Marine Georesources and Geotechnology;journal;Q1
Molecules;journal;Q1
Pathogens and Global Health;journal;Q2
River Research and Applications;journal;Q2
Robotica;journal;Q1
Seminars in Diagnostic Pathology;journal;Q2
Social Cognition;journal;Q2
Software and Systems Modeling;journal;Q2
Advances in Science and Research;journal;Q2
American Journal of Hospice and Palliative Medicine;journal;Q2
BMC Rheumatology;journal;Q3
EMA - Emergency Medicine Australasia;journal;Q2
International Archives of Allergy and Immunology;journal;Q2
International Journal of Cultural Policy;journal;Q1
Journal of American College Health;journal;Q2
KI - Kunstliche Intelligenz;journal;Q2
Schizophrenia Research: Cognition;journal;Q2
Science China Technological Sciences;journal;Q1
Tellus, Series B: Chemical and Physical Meteorology;journal;Q2
Asian Economic Policy Review;journal;Q1
Clinics in Perinatology;journal;Q2
Current Research in Environmental Sustainability;journal;Q2
Expert Opinion on Pharmacotherapy;journal;Q2
Harvard Civil Rights-Civil Liberties Law Review;journal;Q1
Journal of Analytical Atomic Spectrometry;journal;Q2
Journal of Plant Research;journal;Q1
Political Research Exchange;journal;Q1
Urban Research and Practice;journal;Q1
Anthropology and Education Quarterly;journal;Q1
Behavioral Research in Accounting;journal;Q2
Canadian Journal of Kidney Health and Disease;journal;Q2
Climate Change Economics;journal;Q2
Current Pediatric Reviews;journal;Q2
Early Human Development;journal;Q2
Fisheries Research;journal;Q1
Journal of Atmospheric and Oceanic Technology;journal;Q2
Journal of Plant Interactions;journal;Q1
Laryngoscope investigative otolaryngology;journal;Q1
Progress in Nuclear Energy;journal;Q2
Psychiatric Rehabilitation Journal;journal;Q1
Quality and Quantity;journal;Q1
Stress;journal;Q2
Weather, Climate, and Society;journal;Q1
Forestry;journal;Q1
Identity;journal;Q1
Journal of Organizational Computing and Electronic Commerce;journal;Q2
Musicae Scientiae;journal;Q1
Neurotoxicology and Teratology;journal;Q2
Visual Computing for Industry, Biomedicine, and Art;journal;Q1
Composites Part C: Open Access;journal;Q1
Conference Proceedings - IEEE Applied Power Electronics Conference and Exposition - APEC;conference and proceedings;-
Frontiers in Water;journal;Q2
Journal of Biomechanics;journal;Q1
Journal of Cultural Heritage;journal;Q1
Melanoma Management;journal;Q1
Neuronal Signaling;journal;Q4
Physica A: Statistical Mechanics and its Applications;journal;Q2
Psychology in the Schools;journal;Q1
Resources;journal;Q2
Thrombosis Journal;journal;Q2
Advances in Parasitology;journal;Q2
Asian Journal of Control;journal;Q2
Behavioural Neurology;journal;Q2
European Journal of Cancer Prevention;journal;Q2
Evolution Equations and Control Theory;journal;Q2
Injury;journal;Q1
International Journal of Integrated Care;journal;Q1
Journal of Community and Applied Social Psychology;journal;Q1
Journal of Economic Entomology;journal;Q1
Journal of Medicine and Philosophy;journal;Q1
Journal of Pipeline Science and Engineering;journal;Q1
Therapeutic Advances in Urology;journal;Q2
Critical Asian Studies;journal;Q1
Economic Systems;journal;Q2
Food Production, Processing and Nutrition;journal;Q1
Gates Open Research;journal;Q2
Journal of Biomedical Semantics;journal;Q2
Journal of integrative bioinformatics;journal;Q2
Journal of Traditional and Complementary Medicine;journal;Q1
Molecular Imaging;journal;Q2
Proceedings of the Edinburgh Mathematical Society;journal;Q1
Public Health Nursing;journal;Q1
Public Transport;journal;Q1
Rivista, Italiana di Paleontologiia e Stratigrafia;journal;Q1
Scandinavian Economic History Review;journal;Q1
South Atlantic Quarterly;journal;Q1
American Journal of Alzheimer's Disease and other Dementias;journal;Q2
Canadian Journal of Forest Research;journal;Q1
Current Diabetes Reviews;journal;Q2
Current Treatment Options in Neurology;journal;Q2
Experimental Physiology;journal;Q2
Financial Markets, Institutions and Instruments;journal;Q1
International Journal of Network Management;journal;Q2
Microcirculation;journal;Q2
Angiology;journal;Q2
BMC Developmental Biology;journal;Q3
Focus on Autism and Other Developmental Disabilities;journal;Q2
Journal of Mathematical Economics;journal;Q2
Journal of Nutrition Education and Behavior;journal;Q2
Journal of Small Business and Enterprise Development;journal;Q1
Nano Futures;journal;Q2
Nanomedicine;journal;Q1
Neurodegenerative Diseases;journal;Q2
Neuropsychiatrie;journal;Q2
PeerJ;journal;Q1
Physics and Chemistry of the Earth;journal;Q2
Reactive and Functional Polymers;journal;Q1
Saudi Journal of Biological Sciences;journal;Q1
Seminars in Ophthalmology;journal;Q2
ACM Transactions on Human-Robot Interaction;journal;Q2
ACS Omega;journal;Q1
Acta Palaeontologica Polonica;journal;Q1
Current Molecular Pharmacology;journal;Q2
Engineering Analysis with Boundary Elements;journal;Q1
European Journal of Cancer Care;journal;Q3
IET Biometrics;journal;Q2
International Journal of Urology;journal;Q2
Journal of Advanced Concrete Technology;journal;Q2
Journal of Anesthesia;journal;Q2
Journal of Cardiothoracic and Vascular Anesthesia;journal;Q2
Journal of Medical Entomology;journal;Q1
Journal of Pediatric and Adolescent Gynecology;journal;Q2
Journal of Petroleum Geology;journal;Q2
Land Economics;journal;Q2
Lithosphere;journal;Q2
Nanomanufacturing and Metrology;journal;Q1
Proceedings of the Combustion Institute;journal;Q1
Rural policy brief;journal;Q2
AMB Express;journal;Q2
Asia-Pacific Journal of Business Administration;journal;Q2
EPJ Photovoltaics;journal;Q2
International Review of Retail, Distribution and Consumer Research;journal;Q2
International Tax and Public Finance;journal;Q2
International Wound Journal;journal;Q1
Journal of Applied Communication Research;journal;Q1
Journal of Environmental Radioactivity;journal;Q2
Journal of Management Control;journal;Q2
Pharmacology Research and Perspectives;journal;Q1
Post-Soviet Affairs;journal;Q1
Review of Contemporary Philosophy;journal;Q1
Revista Brasileira de Epidemiologia;journal;Q2
SPR Electrochemistry;book series;Q2
Student Success;journal;Q1
Training and Education in Professional Psychology;journal;Q1
Acta Mechanica Sinica/Lixue Xuebao;journal;Q1
Analysis;journal;Q1
Archive for Mathematical Logic;journal;Q1
Australian Psychologist;journal;Q1
Canadian Review of Sociology;journal;Q1
Digital Applications in Archaeology and Cultural Heritage;journal;Q1
Environmental and Molecular Mutagenesis;journal;Q2
Journal of Great Lakes Research;journal;Q1
Journal of Simulation;journal;Q2
Organisms Diversity and Evolution;journal;Q2
Proceedings of the IEEE Conference on Decision and Control;conference and proceedings;-
Developing World Bioethics;journal;Q1
DNA and Cell Biology;journal;Q2
Food Science and Nutrition;journal;Q1
Geochemistry;journal;Q2
Hepatobiliary and Pancreatic Diseases International;journal;Q2
Immuno-Oncology and Technology;journal;Q3
Inland Waters;journal;Q1
International Journal of Public Administration;journal;Q2
International Journal of Sociology;journal;Q1
Journal of Clinical Pharmacology;journal;Q2
Journal of Computer Information Systems;journal;Q1
Journal of Family Violence;journal;Q1
Journal of Zoology;journal;Q1
Neurologia Medico-Chirurgica;journal;Q1
Queueing Systems;journal;Q2
Revista Latina de Comunicacion Social;journal;Q1
Ships and Offshore Structures;journal;Q1
AIDS Care - Psychological and Socio-Medical Aspects of AIDS/HIV;journal;Q2
Annals of Otology, Rhinology and Laryngology;journal;Q1
Autonomic Neuroscience: Basic and Clinical;journal;Q2
Catalysts;journal;Q2
Chinese Medical Journal;journal;Q2
Coastal Management;journal;Q2
Drug Target Insights;journal;Q1
Frontiers in Computational Neuroscience;journal;Q3
International Journal of Heritage Studies;journal;Q1
Journal of Experimental Zoology Part A: Ecological and Integrative Physiology;journal;Q1
Molecular Vision;journal;Q2
Nuclear Engineering and Technology;journal;Q2
Ultrasound in Medicine and Biology;journal;Q1
BMC Systems Biology;journal;Q2
Cardiac Failure Review;journal;Q2
Cognitive Behaviour Therapist;journal;Q2
International Journal of Food Sciences and Nutrition;journal;Q1
Journal of Addictive Diseases;journal;Q2
Journal of Geographical Systems;journal;Q1
Journal of Occupational Health;journal;Q2
Journal Physics D: Applied Physics;journal;Q1
Quarterly Review of Economics and Finance;journal;Q2
Sports Biomechanics;journal;Q1
Tuberculosis and Respiratory Diseases;journal;Q2
ZooKeys;journal;Q1
AI and Society;journal;Q1
Applied Mathematics and Mechanics (English Edition);journal;Q1
BMC Complementary Medicine and Therapies;journal;Q1
BMC Neuroscience;journal;Q3
BMJ Neurology Open;journal;Q2
Current Research in Microbial Sciences;journal;Q2
First Language;journal;Q1
Journal of Drug Delivery Science and Technology;journal;Q1
Journal of Portfolio Management;journal;Q2
Journal of Vocational Education and Training;journal;Q1
Materials Science in Semiconductor Processing;journal;Q1
Natural Gas Geoscience;journal;Q2
Recycling;journal;Q2
Romanian Journal of Information Science and Technology;journal;Q1
Solid State Ionics;journal;Q2
Spatial and Spatio-temporal Epidemiology;journal;Q1
Transactions in GIS;journal;Q2
Asia-Pacific Journal of Atmospheric Sciences;journal;Q2
Cartilage;journal;Q1
Communication Reports;journal;Q1
Current Cancer Drug Targets;journal;Q2
Equality, Diversity and Inclusion;journal;Q1
General and Comparative Endocrinology;journal;Q1
International Journal of Applied Mechanics;journal;Q1
International Journal of Innovation Studies;journal;Q2
International Journal of Women's Health;journal;Q1
JMIR Rehabilitation and Assistive Technologies;journal;Q1
Journal of Computing and Information Science in Engineering;journal;Q2
Mathematics In Engineering;journal;Q2
Nanotechnology for Environmental Engineering;journal;Q2
Natural Products and Bioprospecting;journal;Q1
Phytochemistry;journal;Q1
Advances in Rheumatology;journal;Q3
Applications in Plant Sciences;journal;Q1
Clinical Anatomy;journal;Q1
Current Problems in Pediatric and Adolescent Health Care;journal;Q2
Environment and Society: Advances in Research;journal;Q1
Global Policy;journal;Q1
Immunobiology;journal;Q2
Indian Journal of Psychological Medicine;journal;Q2
Journal of Computational Science;journal;Q1
Journal of Pharmacy and Pharmacology;journal;Q1
Molecular Reproduction and Development;journal;Q2
Nursing Forum;journal;Q1
Open Learning;journal;Q2
Systems Science and Control Engineering;journal;Q2
Urology;journal;Q2
Anaerobe;journal;Q2
Clinical Nutrition ESPEN;journal;Q2
Environmental Archaeology;journal;Q1
International Journal of Sustainable Energy Planning and Management;journal;Q1
Journal of Moral Education;journal;Q1
Journal of Physics Condensed Matter;journal;Q2
Mathematics and Mechanics of Solids;journal;Q2
Multidisciplinary Respiratory Medicine;journal;Q2
New Microbes and New Infections;journal;Q2
Nuclear Instruments and Methods in Physics Research, Section A: Accelerators, Spectrometers, Detectors and Associated Equipment;journal;Q1
Pain and Therapy;journal;Q2
Scandinavian Journal of Psychology;journal;Q1
Sleep and Breathing;journal;Q1
Animals;journal;Q1
Australian Systematic Botany;journal;Q1
Biology and Philosophy;journal;Q1
Discrete and Computational Geometry;journal;Q2
Formal Aspects of Computing;journal;Q2
IEEE Security and Privacy;journal;Q1
International Journal of Applied Linguistics;journal;Q1
Journal of Adult and Continuing Education;journal;Q2
Journal of Bone and Joint Infection;journal;Q2
Journal of Clinical Hypertension;journal;Q2
Journal of Supercomputing;journal;Q2
Journal of Theoretical Politics;journal;Q1
Prion;journal;Q2
Psychological Reports;journal;Q2
Research Policy: X;journal;Q2
Vision Research;journal;Q2
Yanshilixue Yu Gongcheng Xuebao/Chinese Journal of Rock Mechanics and Engineering;journal;Q2
Australian Dental Journal;journal;Q1
Canadian Journal of School Psychology;journal;Q2
Current Transplantation Reports;journal;Q2
Dyes and Pigments;journal;Q1
Elementary School Journal;journal;Q2
Family and Community Health;journal;Q2
Genetic Programming and Evolvable Machines;journal;Q2
International Comparative Social Studies;book series;Q1
IRBM;journal;Q2
Knowledge Management and E-Learning;journal;Q2
Lithic Technology;journal;Q1
Pacific Philosophical Quarterly;journal;Q1
Parasitology;journal;Q1
Philosophy, Ethics, and Humanities in Medicine;journal;Q1
RUDN Journal of Language Studies, Semiotics and Semantics;journal;Q1
Biochemia Medica;journal;Q2
Brazilian Journal of Infectious Diseases;journal;Q2
Clinical Spine Surgery;journal;Q2
Critical Perspectives on International Business;journal;Q2
European Journal of Organic Chemistry;journal;Q2
Future Foods;journal;Q1
International Journal for Numerical Methods in Fluids;journal;Q1
International Journal of Culture, Tourism and Hospitality Research;journal;Q1
Journal of Multidisciplinary Healthcare;journal;Q1
Journal of Non-Newtonian Fluid Mechanics;journal;Q1
Journal of Oral Pathology and Medicine;journal;Q2
Journal of Veterinary Emergency and Critical Care;journal;Q1
Research in Mathematics Education;journal;Q2
Rhizosphere;journal;Q1
Social Theory and Health;journal;Q1
Studying Teacher Education;journal;Q2
Substance Abuse: Research and Treatment;journal;Q2
Young;journal;Q1
Advances in Cement Research;journal;Q2
Analytical Cellular Pathology;journal;Q2
Basic and Clinical Pharmacology and Toxicology;journal;Q2
Big Data and Cognitive Computing;journal;Q2
Diangong Jishu Xuebao/Transactions of China Electrotechnical Society;journal;Q2
Genesis;journal;Q2
IET Intelligent Transport Systems;journal;Q1
Journal of Financial Data Science;journal;Q2
Journal of Macroeconomics;journal;Q2
Linguistic Review;journal;Q1
Pulmonary Therapy;journal;Q2
Review of Policy Research;journal;Q1
Academic Psychiatry;journal;Q2
Asian Journal of Organic Chemistry;journal;Q2
Clinical Drug Investigation;journal;Q2
European Journal of Emergency Medicine;journal;Q2
European Journal of Oncology Nursing;journal;Q1
International Journal of Art Therapy: Inscape;journal;Q1
International Journal of Recycling of Organic Waste in Agriculture;journal;Q1
Journal of Media Psychology;journal;Q1
JSES International;journal;Q2
Marine Micropaleontology;journal;Q1
Australian and New Zealand Journal of Obstetrics and Gynaecology;journal;Q2
Democratic Theory;journal;Q1
Economics Letters;journal;Q2
Fetal Diagnosis and Therapy;journal;Q1
Journal of Immunotoxicology;journal;Q2
Journal of Pathology and Translational Medicine;journal;Q2
Journal of Refractive Surgery;journal;Q2
Journal of Renal Nutrition;journal;Q2
Prostaglandins Leukotrienes and Essential Fatty Acids;journal;Q2
Psychology of Music;journal;Q1
Research in Engineering Design - Theory, Applications, and Concurrent Engineering;journal;Q1
City, Culture and Society;journal;Q1
Clinical and Applied Thrombosis/Hemostasis;journal;Q2
Discourse and Communication;journal;Q1
Facies;journal;Q1
IEEE Transactions on Nanobioscience;journal;Q1
Integral Equations and Operator Theory;journal;Q2
Journal of Aggression, Maltreatment and Trauma;journal;Q1
Journal of Photochemistry and Photobiology A: Chemistry;journal;Q2
Marine Mammal Science;journal;Q1
Maxillofacial Plastic and Reconstructive Surgery;journal;Q2
Parasite Epidemiology and Control;journal;Q2
RSC Advances;journal;Q2
Sexuality and Disability;journal;Q1
Spectrochimica Acta, Part B: Atomic Spectroscopy;journal;Q2
Studies in Philosophy and Education;journal;Q1
Air, Soil and Water Research;journal;Q2
American Journal of Audiology;journal;Q2
Biodegradation;journal;Q2
Communications on Applied Mathematics and Computation;journal;Q2
Diagnostic Pathology;journal;Q2
Electronic Structure;journal;Q2
Journal of Child Health Care;journal;Q1
Journal of Energy Resources Technology, Transactions of the ASME;journal;Q2
Journal of Gastric Cancer;journal;Q2
Journal of General Psychology;journal;Q1
Journal of Management and Organization;journal;Q2
Journal of Numerical Cognition;journal;Q2
Nanocomposites;journal;Q2
Plant Disease;journal;Q1
Research in Microbiology;journal;Q2
Review of Radical Political Economics;journal;Q1
Sociological Inquiry;journal;Q1
Swiss Political Science Review;journal;Q1
Alzheimer Disease and Associated Disorders;journal;Q2
Analytical and Bioanalytical Chemistry;journal;Q2
Archives of Cardiovascular Diseases;journal;Q2
Asian American Journal of Psychology;journal;Q2
Bioscience of Microbiota, Food and Health;journal;Q1
Clinical Biochemistry;journal;Q2
Discourse and Society;journal;Q1
Ergonomics;journal;Q1
Health Services Insights;journal;Q2
IEEE Journal on Exploratory Solid-State Computational Devices and Circuits;journal;Q2
Journal of Ecohydraulics;journal;Q2
Journal of Paleolimnology;journal;Q1
Process Biochemistry;journal;Q2
Protoplasma;journal;Q1
Zoonoses and Public Health;journal;Q1
Cognitive Neurodynamics;journal;Q3
Critical Criminology;journal;Q1
Evolutionary Psychological Science;journal;Q2
Functional and Integrative Genomics;journal;Q2
Journal of educational administration and history;journal;Q1
Journal of Family Issues;journal;Q1
Journal of International Trade and Economic Development;journal;Q1
Journal of Interventional Cardiac Electrophysiology;journal;Q2
Journal of Performance of Constructed Facilities;journal;Q2
Journal of Physical Chemistry A;journal;Q2
MIT Sloan Management Review;journal;Q2
R Journal;journal;Q2
Accounting in Europe;journal;Q2
Business Strategy and Development;journal;Q1
Cancer Treatment and Research Communications;journal;Q3
Geochronometria;journal;Q2
GeoInformatica;journal;Q1
International Journal of Laboratory Hematology;journal;Q2
Journal of Experimental Psychopathology;journal;Q2
Journal of Medical Microbiology;journal;Q2
Macroeconomic Dynamics;journal;Q2
School Psychology Review;journal;Q2
Social Neuroscience;journal;Q2
Chinese Journal of Natural Medicines;journal;Q1
Discrete Mathematics and Theoretical Computer Science;journal;Q1
Experimental Mechanics;journal;Q2
International Journal of Food Science and Technology;journal;Q1
Journal of Cutaneous Medicine and Surgery;journal;Q1
Journal of Waterway, Port, Coastal and Ocean Engineering;journal;Q2
Leukemia Research;journal;Q2
Publicacion Electronica de la Asociacion Paleontologica Argentina;journal;Q1
Science and Justice - Journal of the Forensic Science Society;journal;Q2
Advances in Difference Equations;journal;Q2
Biophysical Chemistry;journal;Q2
Environmental Engineering Research;journal;Q2
Fusion Engineering and Design;journal;Q2
Integrated Environmental Assessment and Management;journal;Q1
International Clinical Psychopharmacology;journal;Q2
Journal of Experimental Marine Biology and Ecology;journal;Q2
Journal of Quality Assurance in Hospitality and Tourism;journal;Q2
Polymer Composites;journal;Q1
Applied Mathematics and Nonlinear Sciences;journal;Q1
Aquacultural Engineering;journal;Q2
Clean Energy;journal;Q2
Current Zoology;journal;Q1
International Journal of the Commons;journal;Q1
Journal of Arid Land;journal;Q2
Journal of nursing research : JNR, The;journal;Q1
Mathematical Physics Analysis and Geometry;journal;Q2
Plant Phenome Journal;journal;Q1
Plastic and Reconstructive Surgery - Global Open;journal;Q2
TOP;journal;Q2
Water Resources and Economics;journal;Q1
Advances in Applied Mathematics;journal;Q2
Child and Youth Care Forum;journal;Q1
Diagnostics;journal;Q2
Geoscience Canada;journal;Q2
Journal of Advances in Management Research;journal;Q2
Journal of Biomolecular Structure and Dynamics;journal;Q2
Journal of Loss Prevention in the Process Industries;journal;Q1
Journal of Reinforced Plastics and Composites;journal;Q1
Journal of the Academy of Consultation-Liaison Psychiatry;journal;Q2
Journal of Vestibular Research: Equilibrium and Orientation;journal;Q2
Nursing and Health Sciences;journal;Q1
Pattern Analysis and Applications;journal;Q2
Petroleum Research;journal;Q2
Planetary and Space Science;journal;Q2
Proceedings of the Yorkshire Geological Society;journal;Q2
Reproductive Toxicology;journal;Q2
Wiener Klinische Wochenschrift;journal;Q2
Xinxing Tan Cailiao/New Carbon Materials;journal;Q2
Contemporary Political Theory;journal;Q1
Cryobiology;journal;Q1
Environment;journal;Q2
Infectious Disease Reports;journal;Q2
Intelligent Service Robotics;journal;Q1
International Journal of Nursing Studies Advances;journal;Q1
Journal of Adventure Education and Outdoor Learning;journal;Q2
Journal of Communication Disorders;journal;Q1
Journal of Hydraulic Engineering;journal;Q2
Journal of Mental Health Research in Intellectual Disabilities;journal;Q2
Mechanics of Advanced Materials and Structures;journal;Q2
Physiology and Molecular Biology of Plants;journal;Q1
Proceedings of the ACM on Computer Graphics and Interactive Techniques;journal;Q2
Systematics and Biodiversity;journal;Q1
Tissue Engineering and Regenerative Medicine;journal;Q2
Annals of Work Exposures and Health;journal;Q2
BMC Veterinary Research;journal;Q1
European Journal of Taxonomy;journal;Q2
Fudan Journal of the Humanities and Social Sciences;journal;Q1
Human Geography(United Kingdom);journal;Q1
International Journal for Academic Development;journal;Q2
International Journal of Naval Architecture and Ocean Engineering;journal;Q2
Journal of Electronic Science and Technology;journal;Q2
Journal of Geriatric Cardiology;journal;Q2
Journal of Housing and the Built Environment;journal;Q1
Journal of Language Evolution;journal;Q1
Journal of Physics and Chemistry of Solids;journal;Q2
Journal of Renewable and Sustainable Energy;journal;Q2
MDM Policy and Practice;journal;Q2
Minerva Anestesiologica;journal;Q2
Review of European, Comparative and International Environmental Law;journal;Q1
Synthetic Metals;journal;Q1
Teachers College Record;journal;Q2
Water Environment Research;journal;Q2
Acta Biochimica et Biophysica Sinica;journal;Q2
Clinical Medicine Insights: Endocrinology and Diabetes;journal;Q2
Dermatologic Therapy;journal;Q1
Frontiers of Information Technology and Electronic Engineering;journal;Q2
Journal of Dental Sciences;journal;Q1
Journal of Pain Research;journal;Q2
Public Money and Management;journal;Q1
Scandinavian Journal of Economics;journal;Q2
AJOB Empirical Bioethics;journal;Q1
Algebra and Logic;journal;Q1
British Journal of Aesthetics;journal;Q1
Cardiovascular Toxicology;journal;Q2
Drugs in R and D;journal;Q2
Ecology of Freshwater Fish;journal;Q2
European Annals of Otorhinolaryngology, Head and Neck Diseases;journal;Q2
European Politics and Society;journal;Q1
Geriatric Nursing;journal;Q2
Indian Journal of Ophthalmology;journal;Q2
Journal of Eastern African Studies;journal;Q1
Journal of Economics, Finance and Administrative Science;journal;Q1
Journal of Food Science and Technology;journal;Q1
Journal of Perinatal Medicine;journal;Q2
Journal of the Intensive Care Society;journal;Q1
Neuropathology;journal;Q2
Optical Materials Express;journal;Q2
Propulsion and Power Research;journal;Q2
Psychiatric Genetics;journal;Q2
Real-Time Systems;journal;Q2
REICE. Revista Iberoamericana Sobre Calidad, Eficacia y Cambio en Educacion;journal;Q1
Sleep Medicine Clinics;journal;Q2
Toxicology in Vitro;journal;Q2
Veterinary Anaesthesia and Analgesia;journal;Q1
Bird Conservation International;journal;Q1
Canadian Journal of Gastroenterology and Hepatology;journal;Q2
Chinese Journal of Chemical Engineering;journal;Q2
ecancermedicalscience;journal;Q3
Frontiers in Energy;journal;Q2
Frontiers in Nanotechnology;journal;Q2
Journal of Ecotourism;journal;Q1
Journal of Personalized Medicine;journal;Q2
Journal of Physiological Sciences;journal;Q2
Journal of Plant Ecology;journal;Q1
Journal of Safety Science and Resilience;journal;Q1
Lasers in Surgery and Medicine;journal;Q1
Nuclear Technology;journal;Q2
Plant and Fungal Systematics;journal;Q1
Beilstein Journal of Organic Chemistry;journal;Q2
Bosnian Journal of Basic Medical Sciences;journal;Q2
Citizenship Studies;journal;Q1
Complementary Therapies in Clinical Practice;journal;Q1
Empirical Economics;journal;Q1
European Journal of Social Work;journal;Q1
Gerontology and Geriatric Medicine;journal;Q3
Hamostaseologie;journal;Q2
Hand Clinics;journal;Q2
IEEE Transactions on Magnetics;journal;Q2
International Journal of Qualitative Studies in Education;journal;Q2
International Journal of Women's Dermatology;journal;Q2
Journal of Librarianship and Information Science;journal;Q1
Journal of Maternal-Fetal and Neonatal Medicine;journal;Q2
Quantitative Imaging in Medicine and Surgery;journal;Q2
Sports Medicine and Arthroscopy Review;journal;Q2
Sustainability;journal;Q1
Agronomy;journal;Q1
Anthropocene Coasts;journal;Q2
Bioengineering;journal;Q2
BioMedical Engineering Online;journal;Q2
Erkenntnis;journal;Q1
Journal of Biochemistry;journal;Q2
Journal of Bioenergetics and Biomembranes;journal;Q2
Journal of Forestry;journal;Q1
Journal of Professions and Organization;journal;Q2
NeuroImmunoModulation;journal;Q3
Profiles of Drug Substances, Excipients and Related Methodology;journal;Q2
Reproductive Sciences;journal;Q2
Ship Technology Research;journal;Q2
Transactions on Data Privacy;journal;Q2
American Journal of the Medical Sciences;journal;Q2
Asian Nursing Research;journal;Q1
Disease Markers;journal;Q2
Experimental Brain Research;journal;Q3
Freshwater Science;journal;Q2
Frontiers in Sociology;journal;Q1
Information (Switzerland);journal;Q2
International Journal of Engineering Business Management;journal;Q2
International Journal of Information and Learning Technology;journal;Q2
International Journal of Periodontics and Restorative Dentistry;journal;Q2
Interpretation;journal;Q2
Psychology of Consciousness: Theory Research, and Practice;journal;Q2
Shape Memory and Superelasticity;journal;Q2
Spatial Statistics;journal;Q2
Substance Use and Misuse;journal;Q2
Veterinary Clinics of North America. Equine Practice;journal;Q2
Advances in Nursing Science;journal;Q1
Atmosphere;journal;Q2
Baltic Journal of Management;journal;Q2
Canadian Journal on Aging;journal;Q1
Current Psychology;journal;Q2
Developmental and Comparative Immunology;journal;Q3
European Journal of Phycology;journal;Q1
Frontiers in Education;journal;Q2
Frontiers of Biogeography;journal;Q2
Frontiers of Business Research in China;journal;Q2
International Journal of Algebra and Computation;journal;Q2
International Journal of Biomedical Imaging;journal;Q2
International Journal of Speech-Language Pathology;journal;Q1
Italian Journal of Pediatrics;journal;Q2
Journal of Chemical Neuroanatomy;journal;Q4
Journal of Contemporary Accounting and Economics;journal;Q2
Marine Resource Economics;journal;Q1
Ocean Dynamics;journal;Q2
Ultraschall in der Medizin;journal;Q2
Urban Water Journal;journal;Q1
Agroforestry Systems;journal;Q1
Animal Cells and Systems;journal;Q1
